cvegeo,intralinks,size,grado,fuerza,longitude,latitude
150990419,"",12,35,39,-98.83384392478067,19.508472475421474
1510000020163,11.0,23,68,178,-98.95071281567428,19.59596563049732
1510100140048,"",6,9,20,-99.49757362692674,19.197285144755565
1510400010730,1.0,59,21,30,-99.23650687995087,19.524505894913595
1510900031773,"",13,8,8,-99.18513678013099,19.59992245493165
15112008A,"",2,3,31,-99.54317667146802,19.731483579755245
1512100010568,"",28,37,62,-99.18783365496373,19.595431230406327
1512100011725,1.0,25,33,41,-99.23422575996756,19.613629424866424
1512200010866,3.0,46,6,19,-98.94699609466116,19.317250640408666
1702600010093,"",1,0,0,-98.97235894503996,18.9534594316267
0900300011514,13.0,192,71,72,-99.1029544551069,19.309981045055302
0900500011203,28.0,118,85,165,-99.07841912001362,19.49206795973171
0900500011769,44.0,227,163,357,-99.12980970012129,19.464458170118416
0900600010363,50.0,232,113,202,-99.0636146900979,19.392861245176725
0900600010931,13.0,79,37,42,-99.10687448996924,19.38260087004141
0900700011053,28.0,212,147,295,-99.05614361298046,19.354733560530434
0900700011585,3.0,84,58,76,-99.08426610507675,19.337200798837276
0900700012812,31.0,205,143,399,-99.06866316491246,19.34119250016925
090080368,73.0,97,60,92,-99.28329712956015,19.257115955020154
0900900010492,"",6,1,1,-99.02972817950902,19.20245352224471
090100001135A,19.0,191,59,97,-99.28603947027278,19.328117950004724
090120001045A,11.0,110,33,44,-99.14246704537499,19.29599172987828
0901300010334,46.0,228,118,220,-99.0993578696241,19.25180977697884
0901300011328,113.0,305,283,855,-99.02462029011109,19.249557525285915
0901400010295,4.0,97,27,32,-99.14358442035493,19.387955284765297
0901600011067,"",29,11,13,-99.2164182351075,19.411044484915756
1304800012440,"",1,1,2,-98.80865864821723,20.033211209978035
1305101261823,"",1,2,5,-98.76298550925088,20.063502136105647
1306900420603,"",7,11,11,-98.93704780788624,19.862892845685202
1307600080701,"",2,1,1,-99.30171642082912,20.05148890760961
1501000010234,0.0,0,0,0,-99.17302623963649,19.9608954272151
1502900010236,"",6,13,21,-98.90509344489416,19.403495384105
1503100010361,18.0,163,102,141,-98.95309071491552,19.446989159811235
1503100010766,3.0,50,10,19,-98.98515145935556,19.41963997018987
